CENTRE HOSPITALIER PRINCESSE GRACE;;AVENUE PASTEUR;;98000;PRINCIPAUTE DE MONACO;;2;chirurgie
CENTRE HOSPITALIER PRINCESSE GRACE;;AVENUE PASTEUR;;98000;PRINCIPAUTE DE MONACO;;2;maternité
CENTRE DE REEDUCATION AVICENNE;;7 RUE DE SCHWANDORF;;33500;LIBOURNE;;2;AVC
CENTRE DE REEDUCATION AVICENNE;;7 RUE DE SCHWANDORF;;33500;LIBOURNE;;2;BPCO
CENTRE DE REEDUCATION AVICENNE;;7 RUE DE SCHWANDORF;;33500;LIBOURNE;;2;Personnes Agées
CENTRE DE REEDUCATION AVICENNE;;7 RUE DE SCHWANDORF;;33500;LIBOURNE;;2;chirurgie
CENTRE DE REEDUCATION AVICENNE;;7 RUE DE SCHWANDORF;;33500;LIBOURNE;;2;insuffisance cardiaque
CENTRE DE CARDIOLOGIE DU PAYS BASQUE;;13 AVENUE DE L'INTERNE JACQUES LOEB;;64109;BAYONNE CEDEX;;;Personnes Agées
CENTRE DE CARDIOLOGIE DU PAYS BASQUE;;13 AVENUE DE L'INTERNE JACQUES LOEB;;64109;BAYONNE CEDEX;;;insuffisance cardiaque
POLYCLINIQUE LE LANGUEDOC;BP 815;AVENUE DE LA COTE DES ROSES;;11108;NARBONNE CEDEX;0468653333;2;chirurgie
POLYCLINIQUE LE LANGUEDOC;BP 815;AVENUE DE LA COTE DES ROSES;;11108;NARBONNE CEDEX;0468653333;2;maternité
POLYCLINIQUE MONTREAL;;ROUTE DE BRAM;;11890;CARCASSONNE CEDEX 9;0468115353;2;chirurgie
CLINIQUE MUTUALISTE AMBERIEU EN BUGEY;BP 611;EN "PRAGNAT" NORD;;01506;AMBERIEU EN BUGEY CEDEX;0474389595;2;chirurgie
CLINIQUE MUTUALISTE AMBERIEU EN BUGEY;BP 611;EN "PRAGNAT" NORD;;01506;AMBERIEU EN BUGEY CEDEX;0474389595;2;maternité
CENTRE HOSPITALIER DU HAUT BUGEY SITE GEOVREISSET;BP 818;1 ROUTE DE VEYZIAT;;01108;OYONNAX CEDEX;0474731001;1;Personnes Agées
CENTRE HOSPITALIER DU HAUT BUGEY SITE GEOVREISSET;BP 818;1 ROUTE DE VEYZIAT;;01108;OYONNAX CEDEX;0474731001;1;chirurgie
CENTRE HOSPITALIER DU HAUT BUGEY SITE GEOVREISSET;BP 818;1 ROUTE DE VEYZIAT;;01108;OYONNAX CEDEX;0474731001;1;insuffisance cardiaque
CENTRE HOSPITALIER DU HAUT BUGEY SITE GEOVREISSET;BP 818;1 ROUTE DE VEYZIAT;;01108;OYONNAX CEDEX;0474731001;1;maternité
CENTRE HOSPIT GENERAL DIGNE LES BAINS;BP 213;QUARTIER SAINT CHRISTOPHE;;04007;DIGNE LES BAINS CEDEX;0492301515;1;BPCO
CENTRE HOSPIT GENERAL DIGNE LES BAINS;BP 213;QUARTIER SAINT CHRISTOPHE;;04007;DIGNE LES BAINS CEDEX;0492301515;1;chirurgie
CENTRE HOSPIT GENERAL DIGNE LES BAINS;BP 213;QUARTIER SAINT CHRISTOPHE;;04007;DIGNE LES BAINS CEDEX;0492301515;1;insuffisance cardiaque
CENTRE HOSPIT GENERAL DIGNE LES BAINS;BP 213;QUARTIER SAINT CHRISTOPHE;;04007;DIGNE LES BAINS CEDEX;0492301515;1;maternité
CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;;24 AVENUE ADRIEN DAURELLE;;05105;BRIANCON CEDEX;0492253456;1;chirurgie
CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;;24 AVENUE ADRIEN DAURELLE;;05105;BRIANCON CEDEX;0492253456;1;maternité
CLINIQUE CONVERT;BP 132;62 AVENUE DE JASSERON;;01004;BOURG EN BRESSE CEDEX;0474456445;2;BPCO
CLINIQUE CONVERT;BP 132;62 AVENUE DE JASSERON;;01004;BOURG EN BRESSE CEDEX;0474456445;2;Personnes Agées
CLINIQUE CONVERT;BP 132;62 AVENUE DE JASSERON;;01004;BOURG EN BRESSE CEDEX;0474456445;2;chirurgie
CLINIQUE CONVERT;BP 132;62 AVENUE DE JASSERON;;01004;BOURG EN BRESSE CEDEX;0474456445;2;insuffisance cardiaque
CLINIQUE CONVERT;BP 132;62 AVENUE DE JASSERON;;01004;BOURG EN BRESSE CEDEX;0474456445;2;maternité
CENTRE HOSPITALIER CARCASSONNE;CS 40001;1060 CHEMIN DE LA MADELEINE;;11010;CARCASSONNE CEDEX 9;0468242046;1;AVC
CENTRE HOSPITALIER CARCASSONNE;CS 40001;1060 CHEMIN DE LA MADELEINE;;11010;CARCASSONNE CEDEX 9;0468242046;1;BPCO
CENTRE HOSPITALIER CARCASSONNE;CS 40001;1060 CHEMIN DE LA MADELEINE;;11010;CARCASSONNE CEDEX 9;0468242046;1;Personnes Agées
CENTRE HOSPITALIER CARCASSONNE;CS 40001;1060 CHEMIN DE LA MADELEINE;;11010;CARCASSONNE CEDEX 9;0468242046;1;chirurgie
CENTRE HOSPITALIER CARCASSONNE;CS 40001;1060 CHEMIN DE LA MADELEINE;;11010;CARCASSONNE CEDEX 9;0468242046;1;insuffisance cardiaque
CENTRE HOSPITALIER CARCASSONNE;CS 40001;1060 CHEMIN DE LA MADELEINE;;11010;CARCASSONNE CEDEX 9;0468242046;1;maternité
CENTRE HOSPITALIER NARBONNE HOTEL DIEU;BP 824;BOULEVARD DR LACROIX;;11108;NARBONNE CEDEX;0468426000;1;AVC
CENTRE HOSPITALIER NARBONNE HOTEL DIEU;BP 824;BOULEVARD DR LACROIX;;11108;NARBONNE CEDEX;0468426000;1;BPCO
CENTRE HOSPITALIER NARBONNE HOTEL DIEU;BP 824;BOULEVARD DR LACROIX;;11108;NARBONNE CEDEX;0468426000;1;Personnes Agées
CENTRE HOSPITALIER NARBONNE HOTEL DIEU;BP 824;BOULEVARD DR LACROIX;;11108;NARBONNE CEDEX;0468426000;1;chirurgie
CENTRE HOSPITALIER NARBONNE HOTEL DIEU;BP 824;BOULEVARD DR LACROIX;;11108;NARBONNE CEDEX;0468426000;1;insuffisance cardiaque
CENTRE HOSPITALIER NARBONNE HOTEL DIEU;BP 824;BOULEVARD DR LACROIX;;11108;NARBONNE CEDEX;0468426000;1;maternité
CENTRE HOSPITALIER FLEYRIAT;BP 401;900 ROUTE DE PARIS;;01012;BOURG EN BRESSE CEDEX;0474454647;1;AVC
CENTRE HOSPITALIER FLEYRIAT;BP 401;900 ROUTE DE PARIS;;01012;BOURG EN BRESSE CEDEX;0474454647;1;BPCO
CENTRE HOSPITALIER FLEYRIAT;BP 401;900 ROUTE DE PARIS;;01012;BOURG EN BRESSE CEDEX;0474454647;1;Personnes Agées
CENTRE HOSPITALIER FLEYRIAT;BP 401;900 ROUTE DE PARIS;;01012;BOURG EN BRESSE CEDEX;0474454647;1;chirurgie
CENTRE HOSPITALIER FLEYRIAT;BP 401;900 ROUTE DE PARIS;;01012;BOURG EN BRESSE CEDEX;0474454647;1;insuffisance cardiaque
CENTRE HOSPITALIER FLEYRIAT;BP 401;900 ROUTE DE PARIS;;01012;BOURG EN BRESSE CEDEX;0474454647;1;maternité
CENTRE HOSPITALIER DOCTEUR RECAMIER BELLEY;;52 RUE GEORGES GIRERD;;01300;BELLEY;0479425959;1;BPCO
CENTRE HOSPITALIER DOCTEUR RECAMIER BELLEY;;52 RUE GEORGES GIRERD;;01300;BELLEY;0479425959;1;Personnes Agées
CENTRE HOSPITALIER DOCTEUR RECAMIER BELLEY;;52 RUE GEORGES GIRERD;;01300;BELLEY;0479425959;1;chirurgie
CENTRE HOSPITALIER DOCTEUR RECAMIER BELLEY;;52 RUE GEORGES GIRERD;;01300;BELLEY;0479425959;1;insuffisance cardiaque
CENTRE HOSPITALIER DOCTEUR RECAMIER BELLEY;;52 RUE GEORGES GIRERD;;01300;BELLEY;0479425959;1;maternité
CENTRE HOSPITALIER LEZIGNAN CORBIERES;B.P. 204;BOULEVARD PASTEUR;;11202;LEZIGNAN CORBIERES;0468277900;1;Personnes Agées
CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD SITE DE GAP;;1 PLACE AUGUSTE MURET;;05007;GAP CEDEX;0492406102;1;Personnes Agées
CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD SITE DE GAP;;1 PLACE AUGUSTE MURET;;05007;GAP CEDEX;0492406102;1;chirurgie
CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD SITE DE GAP;;1 PLACE AUGUSTE MURET;;05007;GAP CEDEX;0492406102;1;insuffisance cardiaque
CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD SITE DE GAP;;1 PLACE AUGUSTE MURET;;05007;GAP CEDEX;0492406102;1;maternité
POLYCLINIQUE DES ALPES DU SUD GAP;;3 RUE ANTONIN CORONAT;;05000;GAP;0492401515;2;chirurgie
CLINIQUE SAINT FRANCOIS;;10 BOULEVARD PASTEUR;;06046;NICE CEDEX 1;0493136500;2;chirurgie
HOPITAL PRIVE CANNES OXFORD;;33 BOULEVARD D'OXFORD;;06400;CANNES;0492984292;2;Personnes Agées
HOPITAL PRIVE CANNES OXFORD;;33 BOULEVARD D'OXFORD;;06400;CANNES;0492984292;2;chirurgie
HOPITAL PRIVE CANNES OXFORD;;33 BOULEVARD D'OXFORD;;06400;CANNES;0492984292;2;insuffisance cardiaque
CENTRE HOSPITALIER DES VALS D ARDECHE;BP 707;2 AVENUE PASTEUR;;07007;PRIVAS CEDEX;0475641177;1;BPCO
CENTRE HOSPITALIER DES VALS D ARDECHE;BP 707;2 AVENUE PASTEUR;;07007;PRIVAS CEDEX;0475641177;1;Personnes Agées
CENTRE HOSPITALIER DES VALS D ARDECHE;BP 707;2 AVENUE PASTEUR;;07007;PRIVAS CEDEX;0475641177;1;chirurgie
CENTRE HOSPITALIER DES VALS D ARDECHE;BP 707;2 AVENUE PASTEUR;;07007;PRIVAS CEDEX;0475641177;1;insuffisance cardiaque
CENTRE HOSPITALIER DES VALS D ARDECHE;BP 707;2 AVENUE PASTEUR;;07007;PRIVAS CEDEX;0475641177;1;maternité
CENTRE HOSPITALIER LA FERE;;2 AVENUE DUPUIS;;02800;LA FERE;0323566700;1;maternité
POLYCLINIQUE SAINT JEAN;BP 189;92 AVENUE DU DOCTEUR MAURICE DONAT;;06800;CAGNES SUR MER;0492135313;2;chirurgie
POLYCLINIQUE SAINT JEAN;BP 189;92 AVENUE DU DOCTEUR MAURICE DONAT;;06800;CAGNES SUR MER;0492135313;2;maternité
CLINIQUE DU PALAIS;;25 AVENUE CHIRIS;;06130;GRASSE;0497011541;2;chirurgie
CLINIQUE SAINT GEORGE;;2 AVENUE DE RIMIEZ;;06105;NICE CEDEX 2;0493817150;2;BPCO
CLINIQUE SAINT GEORGE;;2 AVENUE DE RIMIEZ;;06105;NICE CEDEX 2;0493817150;2;Personnes Agées
CLINIQUE SAINT GEORGE;;2 AVENUE DE RIMIEZ;;06105;NICE CEDEX 2;0493817150;2;chirurgie
CLINIQUE SAINT GEORGE;;2 AVENUE DE RIMIEZ;;06105;NICE CEDEX 2;0493817150;2;insuffisance cardiaque
CLINIQUE SAINT GEORGE;;2 AVENUE DE RIMIEZ;;06105;NICE CEDEX 2;0493817150;2;maternité
POLYCLINIQUE SANTA MARIA;;57 AVENUE DE LA CALIFORNIE;;06200;NICE;0492030245;2;maternité
CLINIQUE SAINT ANTOINE;BP 1211;7 AVENUE DURANTE;;06004;NICE CEDEX 1;0493167600;2;BPCO
CLINIQUE SAINT ANTOINE;BP 1211;7 AVENUE DURANTE;;06004;NICE CEDEX 1;0493167600;2;chirurgie
